migrate-1  | 2026-06-27T16:04:05.961290072Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:628: NOTICE:  trigger "item_stack_ledger_projection_invariant_trigger" for relation "item_stack_ledger" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.961301786Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.962418585Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:05.964825172Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.966707250Z CREATE FUNCTION
migrate-1  | 2026-06-27T16:04:05.967012355Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:687: NOTICE:  trigger "trade_instance_wallet_escrow_closed_state_trigger" for relation "trade_instance" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.967049809Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.968474474Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:05.968993965Z DROP TRIGGER
migrate-1  | 2026-06-27T16:04:05.969005413Z psql:distributed-backend/src/trade-settlement/migrations/0001_settlement_schema.sql:694: NOTICE:  trigger "wallet_escrow_closed_trade_invariant_trigger" for relation "wallet_escrow" does not exist, skipping
migrate-1  | 2026-06-27T16:04:05.970405308Z CREATE TRIGGER
migrate-1  | 2026-06-27T16:04:08.618941047Z  ?column? 
migrate-1  | 2026-06-27T16:04:08.618987516Z ----------
migrate-1  | 2026-06-27T16:04:08.618991899Z         1
migrate-1  | 2026-06-27T16:04:08.618994601Z (1 row)
migrate-1  | 2026-06-27T16:04:08.618997111Z 
migrate-1  | 2026-06-27T16:04:08.685433904Z NOTICE:  drop cascades to 27 other objects
migrate-1  | 2026-06-27T16:04:08.685463699Z DETAIL:  drop cascades to extension pgcrypto
migrate-1  | 2026-06-27T16:04:08.685467884Z drop cascades to function compute_item_stack_ledger_payload_hash(uuid,uuid,bigint,bigint,bigint,bigint,text,bigint,bigint,bigint,text,text,bigint,bigint,text,text)
migrate-1  | 2026-06-27T16:04:08.685471121Z drop cascades to function compute_item_stack_ledger_hash(text,text)
migrate-1  | 2026-06-27T16:04:08.685473744Z drop cascades to table capsuleer
migrate-1  | 2026-06-27T16:04:08.685476532Z drop cascades to table region
migrate-1  | 2026-06-27T16:04:08.685479348Z drop cascades to table station
migrate-1  | 2026-06-27T16:04:08.685482182Z drop cascades to table item_type
migrate-1  | 2026-06-27T16:04:08.685485062Z drop cascades to table idempotency_record
migrate-1  | 2026-06-27T16:04:08.685487649Z drop cascades to table request_attempt
migrate-1  | 2026-06-27T16:04:08.685490128Z drop cascades to table settlement_batch
migrate-1  | 2026-06-27T16:04:08.685492597Z drop cascades to table settlement_step
migrate-1  | 2026-06-27T16:04:08.685495333Z drop cascades to table wallet
migrate-1  | 2026-06-27T16:04:08.685497881Z drop cascades to table item_stack
migrate-1  | 2026-06-27T16:04:08.685500406Z drop cascades to table trade_instance
migrate-1  | 2026-06-27T16:04:08.685503118Z drop cascades to table wallet_escrow
migrate-1  | 2026-06-27T16:04:08.685505614Z drop cascades to table item_stack_escrow
migrate-1  | 2026-06-27T16:04:08.685508180Z drop cascades to table wallet_ledger
migrate-1  | 2026-06-27T16:04:08.685510808Z drop cascades to table item_stack_ledger
migrate-1  | 2026-06-27T16:04:08.685513334Z drop cascades to function reject_ledger_mutation()
migrate-1  | 2026-06-27T16:04:08.685516641Z drop cascades to function enforce_item_stack_ledger_insert_integrity()
migrate-1  | 2026-06-27T16:04:08.685519402Z drop cascades to function check_item_stack_ledger_projection_invariant(uuid)
migrate-1  | 2026-06-27T16:04:08.685522088Z drop cascades to function enforce_item_stack_ledger_projection_invariant()
migrate-1  | 2026-06-27T16:04:08.685525041Z drop cascades to table trade_state_change
