api-gateway-1  | 2026-06-27T16:16:31.308008055Z {"timestamp":"2026-06-27T16:16:31.307852877Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-ea0e7c98-385b-4d3d-a27c-f7a3c546793c","code":"invalid_argument","duration_ms":2}
api-gateway-1  | 2026-06-27T16:16:31.509966628Z {"timestamp":"2026-06-27T16:16:31.509762406Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:31.512237776Z {"timestamp":"2026-06-27T16:16:31.512095872Z","level":"WARN","msg":"udp downstream call failed","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-7188d6a4-afab-4cff-abde-81f217509485","code":"invalid_argument","duration_ms":2}
api-gateway-1  | 2026-06-27T16:16:31.700486036Z {"timestamp":"2026-06-27T16:16:31.700305631Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:31.717790315Z {"timestamp":"2026-06-27T16:16:31.717565459Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-82c23492-6663-4154-a496-c6b93ef54fa2","duration_ms":17}
api-gateway-1  | 2026-06-27T16:16:31.875745166Z {"timestamp":"2026-06-27T16:16:31.875558798Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:31.895344539Z {"timestamp":"2026-06-27T16:16:31.895116041Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-72d41f6e-febc-4333-a890-131eb58be85c","duration_ms":19}
api-gateway-1  | 2026-06-27T16:16:31.915134665Z {"timestamp":"2026-06-27T16:16:31.91487908Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:31.991467303Z {"timestamp":"2026-06-27T16:16:31.991257278Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-4e87f10b-2fd9-4b3f-81c0-286b894ced40","duration_ms":76}
api-gateway-1  | 2026-06-27T16:16:32.151931115Z {"timestamp":"2026-06-27T16:16:32.151736892Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:32.171912388Z {"timestamp":"2026-06-27T16:16:32.171622988Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-4e213180-28a4-4cf6-b60e-e2c04cd43275","duration_ms":19}
api-gateway-1  | 2026-06-27T16:16:32.187763358Z {"timestamp":"2026-06-27T16:16:32.187565721Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:32.257399552Z {"timestamp":"2026-06-27T16:16:32.257092179Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-c42a40f6-7d9e-48a5-bb5b-6c544c202f13","duration_ms":69}
api-gateway-1  | 2026-06-27T16:16:32.460247477Z {"timestamp":"2026-06-27T16:16:32.460069228Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:32.481895265Z {"timestamp":"2026-06-27T16:16:32.481421073Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-2798b777-8500-4f30-992d-0fcb8a81823b","duration_ms":21}
api-gateway-1  | 2026-06-27T16:16:32.495086231Z {"timestamp":"2026-06-27T16:16:32.494871026Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:32.521822441Z {"timestamp":"2026-06-27T16:16:32.521560405Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-8380f3b7-8695-4979-8e2c-59c17104bc33","duration_ms":26}
api-gateway-1  | 2026-06-27T16:16:32.698874614Z {"timestamp":"2026-06-27T16:16:32.698653371Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:32.717782265Z {"timestamp":"2026-06-27T16:16:32.717538765Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-861ae6bf-93fe-4111-875f-270737bfe08b","duration_ms":18}
api-gateway-1  | 2026-06-27T16:16:32.735299105Z {"timestamp":"2026-06-27T16:16:32.735047098Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:32.805360958Z {"timestamp":"2026-06-27T16:16:32.805068835Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-0b20cc7e-69a1-4e7c-9038-1034f0d5d4c2","duration_ms":69}
api-gateway-1  | 2026-06-27T16:16:32.991855693Z {"timestamp":"2026-06-27T16:16:32.991641959Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":581}
api-gateway-1  | 2026-06-27T16:16:33.009628486Z {"timestamp":"2026-06-27T16:16:33.009186243Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-3ac6b4d7-87ce-4e12-a865-914600cda377","duration_ms":17}
api-gateway-1  | 2026-06-27T16:16:33.025515391Z {"timestamp":"2026-06-27T16:16:33.025339846Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":623}
api-gateway-1  | 2026-06-27T16:16:33.092467289Z {"timestamp":"2026-06-27T16:16:33.092260955Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-a1166343-41c3-4fe6-8875-2d595da99330","duration_ms":67}
api-gateway-1  | 2026-06-27T16:16:33.306286752Z {"timestamp":"2026-06-27T16:16:33.305869426Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
api-gateway-1  | 2026-06-27T16:16:33.324675654Z {"timestamp":"2026-06-27T16:16:33.324287966Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-90b43bad-3b28-44e1-a907-deeffe2abc8e","duration_ms":17}
api-gateway-1  | 2026-06-27T16:16:33.340615474Z {"timestamp":"2026-06-27T16:16:33.340422445Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:33.403958595Z {"timestamp":"2026-06-27T16:16:33.403772417Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-24b65429-f73c-4752-abcf-1436dfa9f77f","duration_ms":63}
api-gateway-1  | 2026-06-27T16:16:33.645263756Z {"timestamp":"2026-06-27T16:16:33.645093675Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
api-gateway-1  | 2026-06-27T16:16:33.665599383Z {"timestamp":"2026-06-27T16:16:33.665386823Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"issue-1795633e-ad9b-443d-8744-dd599e58f8e3","duration_ms":20}
api-gateway-1  | 2026-06-27T16:16:33.694791297Z {"timestamp":"2026-06-27T16:16:33.694560648Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":587}
api-gateway-1  | 2026-06-27T16:16:33.756335286Z {"timestamp":"2026-06-27T16:16:33.75608526Z","level":"INFO","msg":"udp downstream call succeeded","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","interaction_id":"accept-f9cf365c-13ce-45be-81a5-2ff8f9019927","duration_ms":61}
api-gateway-1  | 2026-06-27T16:16:33.939452475Z {"timestamp":"2026-06-27T16:16:33.939259679Z","level":"INFO","msg":"udp packet received","service.name":"api-gateway","service.version":"local","service.language":"go","observability.run_id":"local-20260627T161230Z-9e14916a-cc3bea","remote":"172.20.0.9","bytes":582}
