settlement-worker-1  | 2026-06-28T03:36:50.950725203Z {"timestamp":"2026-06-28T03:36:50.950509186Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:36:54.919199081Z {"timestamp":"2026-06-28T03:36:54.918993515Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:36:58.888298249Z {"timestamp":"2026-06-28T03:36:58.887759759Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:02.844321963Z {"timestamp":"2026-06-28T03:37:02.844154329Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:02.844344872Z {"timestamp":"2026-06-28T03:37:02.8442081Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:19.895915929Z {"timestamp":"2026-06-28T03:37:19.895717165Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:19.895944260Z {"timestamp":"2026-06-28T03:37:19.895801635Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:23.864268767Z {"timestamp":"2026-06-28T03:37:23.86408026Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:40.427948961Z {"timestamp":"2026-06-28T03:37:40.427722352Z","level":"INFO","msg":"Post \"http://otel-collector:4318/v1/logs\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
settlement-worker-1  | 2026-06-28T03:37:40.428110603Z {"timestamp":"2026-06-28T03:37:40.427949868Z","level":"INFO","msg":"failed to upload metrics: Post \"http://otel-collector:4318/v1/metrics\": dial tcp: lookup otel-collector on 127.0.0.11:53: no such host","service.name":"settlement-worker","service.version":"local","service.language":"go","observability.run_id":"runtime-verification"}
